tier,zone,zone_id,start_day,end_day,start_hour,end_hour,start_ts,end_ts,max_lceq
1,C,dayFestive,5,5,0,9,2026-07-24 00:00,2026-07-24 09:00,80
1,C,dayFestive,5,5,9,12,2026-07-24 09:00,2026-07-24 12:00,92
1,C,dayFestive,5,6,12,3,2026-07-24 12:00,2026-07-25 03:00,104
1,C,dayFestive,6,6,3,9,2026-07-25 03:00,2026-07-25 09:00,80
1,C,dayFestive,6,6,9,12,2026-07-25 09:00,2026-07-25 12:00,92
1,C,dayFestive,6,7,12,3,2026-07-25 12:00,2026-07-26 03:00,104
1,C,dayFestive,7,7,3,9,2026-07-26 03:00,2026-07-26 09:00,80
1,C,dayFestive,7,7,9,12,2026-07-26 09:00,2026-07-26 12:00,98
1,C,dayFestive,7,8,12,0,2026-07-26 12:00,2026-07-27 00:00,104
1,C,dayFestive,8,8,0,9,2026-07-27 00:00,2026-07-27 09:00,80
1,D,mellow,0,0,9,12,2026-07-19 09:00,2026-07-19 12:00,92
1,D,mellow,0,1,12,0,2026-07-19 12:00,2026-07-20 00:00,98
1,D,mellow,1,1,0,9,2026-07-20 00:00,2026-07-20 09:00,92
1,D,mellow,1,1,9,12,2026-07-20 09:00,2026-07-20 12:00,92
1,D,mellow,1,2,12,0,2026-07-20 12:00,2026-07-21 00:00,98
1,D,mellow,2,2,0,9,2026-07-21 00:00,2026-07-21 09:00,92
1,D,mellow,2,2,9,12,2026-07-21 09:00,2026-07-21 12:00,92
1,D,mellow,2,3,12,0,2026-07-21 12:00,2026-07-22 00:00,98
1,D,mellow,3,3,0,9,2026-07-22 00:00,2026-07-22 09:00,92
1,D,mellow,3,3,9,12,2026-07-22 09:00,2026-07-22 12:00,92
1,D,mellow,3,4,12,0,2026-07-22 12:00,2026-07-23 00:00,98
1,D,mellow,4,4,0,9,2026-07-23 00:00,2026-07-23 09:00,92
1,D,mellow,4,4,9,12,2026-07-23 09:00,2026-07-23 12:00,92
1,D,mellow,4,5,12,0,2026-07-23 12:00,2026-07-24 00:00,98
1,D,mellow,5,5,0,9,2026-07-24 00:00,2026-07-24 09:00,92
1,D,mellow,5,5,9,12,2026-07-24 09:00,2026-07-24 12:00,92
1,D,mellow,5,6,12,4,2026-07-24 12:00,2026-07-25 04:00,98
1,D,mellow,6,6,4,9,2026-07-25 04:00,2026-07-25 09:00,92
1,D,mellow,6,6,9,12,2026-07-25 09:00,2026-07-25 12:00,92
1,D,mellow,6,7,12,4,2026-07-25 12:00,2026-07-26 04:00,98
1,D,mellow,7,7,4,9,2026-07-26 04:00,2026-07-26 09:00,92
1,D,mellow,7,7,9,12,2026-07-26 09:00,2026-07-26 12:00,92
1,D,mellow,7,8,12,0,2026-07-26 12:00,2026-07-27 00:00,98
1,D,mellow,8,8,0,9,2026-07-27 00:00,2026-07-27 09:00,92
1,E,chill,0,0,9,22,2026-07-19 09:00,2026-07-19 22:00,92
1,E,chill,0,1,22,9,2026-07-19 22:00,2026-07-20 09:00,80
1,E,chill,1,1,9,22,2026-07-20 09:00,2026-07-20 22:00,92
1,E,chill,1,2,22,9,2026-07-20 22:00,2026-07-21 09:00,80
1,E,chill,2,2,9,22,2026-07-21 09:00,2026-07-21 22:00,92
1,E,chill,2,3,22,9,2026-07-21 22:00,2026-07-22 09:00,80
1,E,chill,3,3,9,22,2026-07-22 09:00,2026-07-22 22:00,92
1,E,chill,3,4,22,9,2026-07-22 22:00,2026-07-23 09:00,80
1,E,chill,4,4,9,22,2026-07-23 09:00,2026-07-23 22:00,92
1,E,chill,4,5,22,9,2026-07-23 22:00,2026-07-24 09:00,80
1,E,chill,5,5,9,22,2026-07-24 09:00,2026-07-24 22:00,92
1,E,chill,5,6,22,9,2026-07-24 22:00,2026-07-25 09:00,80
1,E,chill,6,6,9,22,2026-07-25 09:00,2026-07-25 22:00,92
1,E,chill,6,7,22,9,2026-07-25 22:00,2026-07-26 09:00,80
1,E,chill,7,7,9,22,2026-07-26 09:00,2026-07-26 22:00,92
